week_start,2 Week Wait,Routine,Urgent
2019-10-31,217570,1050288,167886
2019-11-30,215739,1023472,168726
2019-12-31,209806,1009113,164598
2020-01-31,222783,1051599,173674
2020-02-29,216335,1056462,169951
2020-03-31,182577,834949,135037
2020-04-30,89746,128381,48955
2020-05-31,132658,261508,84084
2020-06-30,217268,586936,155226
2020-07-31,188540,633170,141934
2020-08-31,240505,827936,177423
2020-09-30,206742,761497,160418
2020-10-31,217502,767452,164149
2020-11-30,272312,922148,205002
2020-12-31,144618,498710,112913
